time_s,,V
0.0,512.08,512.78
0.02,512.0,511.6
0.04,512.0,511.6
0.06,512.0,511.6
0.08,512.0,511.6
0.1,512.0,511.6
0.12000000000000001,512.0,511.6
0.14,512.0,511.6
0.16,512.0,511.6
0.18,512.0,511.6
0.19999999999999998,512.0,511.6
0.21999999999999997,512.0,511.6
0.23999999999999996,512.0,511.6
0.25999999999999995,512.0,511.6
0.27999999999999997,512.0,511.6
0.3,512.0,511.6
0.32,512.0,511.6
0.34,512.0,511.6
0.36000000000000004,512.0,511.6
0.38000000000000006,512.0,511.6
0.4000000000000001,512.0,511.6
0.4200000000000001,512.0,511.6
0.4400000000000001,512.0,511.6
0.46000000000000013,512.0,511.6
0.48000000000000015,512.0,511.6
0.5000000000000001,512.0,511.6
0.5200000000000001,512.0,511.6
0.5400000000000001,512.0,511.6
0.5600000000000002,512.0,511.6
0.5800000000000002,512.0,511.6
0.6000000000000002,512.0,511.6
0.6200000000000002,512.0,511.6
0.6400000000000002,512.0,511.6
0.6600000000000003,512.0,511.6
0.6800000000000003,512.0,511.6
0.7000000000000003,512.0,511.6
0.7200000000000003,512.0,511.6
0.7400000000000003,512.0,511.6
0.7600000000000003,512.0,511.6
0.7800000000000004,512.0,511.6
0.8000000000000004,512.0,511.6
0.8200000000000004,512.0,511.6
0.8400000000000004,512.0,511.6
0.8600000000000004,512.0,511.6
0.8800000000000004,512.0,511.6
0.9000000000000005,512.0,511.6
0.9200000000000005,512.0,511.6
0.9400000000000005,512.0,511.6
0.9600000000000005,512.0,511.6
0.9800000000000005,512.0,511.6
1.0000000000000004,512.0,511.6
1.0200000000000005,512.0,511.6
1.0400000000000005,512.0,511.6
1.0600000000000005,512.0,511.6
1.0800000000000005,512.0,511.6
1.1000000000000005,512.0,511.6
1.1200000000000006,512.0,511.6
1.1400000000000006,512.0,511.6
1.1600000000000006,512.0,511.6
1.1800000000000006,512.0,511.6
1.2000000000000006,512.0,511.6
1.2200000000000006,512.0,511.6
1.2400000000000007,512.0,511.6
1.2600000000000007,512.0,511.6
1.2800000000000007,512.0,511.6
1.3000000000000007,512.0,511.6
1.3200000000000007,512.0,511.6
1.3400000000000007,512.0,511.6
1.3600000000000008,512.0,511.6
1.3800000000000008,512.0,511.6
1.4000000000000008,512.2,511.48
1.4200000000000008,512.36,511.58
1.4400000000000008,512.69,511.87
1.4600000000000009,512.95,512.29
1.4800000000000009,513.76,513.44
1.5000000000000009,513.76,513.44
1.520000000000001,514.33,514.36
1.540000000000001,514.46,515.69
1.560000000000001,514.46,515.69
1.580000000000001,513.02,515.88
1.600000000000001,512.21,515.1
1.620000000000001,512.21,515.1
1.640000000000001,511.06,513.03
1.660000000000001,511.06,513.03
1.680000000000001,510.64,512.82
1.700000000000001,510.72,512.06
1.720000000000001,510.97,510.65
1.740000000000001,511.78,509.72
1.7600000000000011,511.82,508.57
1.7800000000000011,512.26,508.06
1.8000000000000012,512.41,506.85
1.8200000000000012,512.41,506.85
1.8400000000000012,511.58,506.98
1.8600000000000012,512.66,508.79
1.8800000000000012,512.66,508.79
1.9000000000000012,507.67,525.42
1.9200000000000013,510.73,547.14
1.9400000000000013,548.19,584.91
1.9600000000000013,593.75,621.13
1.9800000000000013,593.75,621.13
2.0000000000000013,676.4,653.1
2.0200000000000014,800.82,677.63
2.0400000000000014,800.82,677.63
2.0600000000000014,844.85,675.5
2.0800000000000014,880.28,664.2
2.1000000000000014,899.83,643.36
2.1200000000000014,867.26,615.49
2.1400000000000015,785.41,580.19
2.1600000000000015,683.33,534.35
2.1800000000000015,592.66,490.08
2.2000000000000015,524.33,454.87
2.2200000000000015,473.86,430.29
2.2400000000000015,439.49,414.43
2.2600000000000016,439.49,414.43
2.2800000000000016,403.11,401.6
2.3000000000000016,395.29,402.28
2.3200000000000016,392.43,405.22
2.3400000000000016,392.95,410.18
2.3600000000000017,392.95,410.18
2.3800000000000017,395.76,416.14
2.4000000000000017,399.81,423.51
2.4200000000000017,404.84,430.81
2.4400000000000017,410.28,439.05
2.4600000000000017,415.42,447.24
2.4800000000000018,421.74,454.79
2.5000000000000018,427.99,461.63
2.520000000000002,433.79,470.31
2.540000000000002,439.03,479.65
2.560000000000002,439.03,479.65
2.580000000000002,449.14,493.85
2.600000000000002,453.11,498.68
2.620000000000002,453.11,498.68
2.640000000000002,460.47,504.28
2.660000000000002,462.38,505.42
2.680000000000002,462.38,505.42
2.700000000000002,467.92,507.51
2.720000000000002,467.92,507.51
2.740000000000002,470.94,508.41
2.760000000000002,473.75,509.53
2.780000000000002,476.8,510.02
2.800000000000002,480.04,510.62
2.820000000000002,483.03,512.09
2.840000000000002,485.83,512.67
2.860000000000002,487.06,514.54
2.880000000000002,489.05,516.03
2.900000000000002,490.64,517.63
2.920000000000002,492.31,518.7
2.940000000000002,492.85,519.56
2.960000000000002,494.48,519.45
