time_s,H,V
0.0,507.67,513.48
0.02,496.0,504.2
0.04,496.0,504.2
0.06,496.0,504.2
0.08,496.0,504.2
0.1,496.0,504.2
0.12000000000000001,496.0,504.2
0.14,496.0,504.2
0.16,496.0,504.2
0.18,496.0,504.2
0.19999999999999998,496.0,504.2
0.21999999999999997,496.0,504.2
0.23999999999999996,496.0,504.2
0.25999999999999995,496.0,504.2
0.27999999999999997,496.0,504.2
0.3,496.0,504.2
0.32,496.0,504.2
0.34,496.0,504.2
0.36000000000000004,496.0,504.2
0.38000000000000006,496.0,504.2
0.4000000000000001,496.0,504.2
0.4200000000000001,496.0,504.2
0.4400000000000001,496.0,504.2
0.46000000000000013,496.0,504.2
0.48000000000000015,496.0,504.2
0.5000000000000001,496.0,504.2
0.5200000000000001,496.0,504.2
0.5400000000000001,496.0,504.2
0.5600000000000002,496.0,504.2
0.5800000000000002,496.0,504.2
0.6000000000000002,496.0,504.2
0.6200000000000002,496.0,504.2
0.6400000000000002,496.0,504.2
0.6600000000000003,496.0,504.2
0.6800000000000003,496.0,504.2
0.7000000000000003,496.0,504.2
0.7200000000000003,496.0,504.2
0.7400000000000003,496.0,504.2
0.7600000000000003,496.0,504.2
0.7800000000000004,496.0,504.2
0.8000000000000004,496.0,504.2
0.8200000000000004,496.0,504.2
0.8400000000000004,496.0,504.2
0.8600000000000004,496.0,504.2
0.8800000000000004,496.0,504.2
0.9000000000000005,496.0,504.2
0.9200000000000005,496.0,504.2
0.9400000000000005,496.0,504.2
0.9600000000000005,496.0,504.2
0.9800000000000005,496.0,504.2
1.0000000000000004,496.0,504.2
1.0200000000000005,496.0,504.2
1.0400000000000005,496.0,504.2
1.0600000000000005,496.0,504.2
1.0800000000000005,496.0,504.2
1.1000000000000005,496.0,504.2
1.1200000000000006,496.0,504.2
1.1400000000000006,496.0,504.2
1.1600000000000006,496.0,504.2
1.1800000000000006,496.0,504.2
1.2000000000000006,496.0,504.2
1.2200000000000006,496.0,504.2
1.2400000000000007,496.0,504.2
1.2600000000000007,496.0,504.2
1.2800000000000007,496.0,504.2
1.3000000000000007,496.0,504.2
1.3200000000000007,496.0,504.2
1.3400000000000007,496.0,504.2
1.3600000000000008,496.0,504.2
1.3800000000000008,487.4,498.56
1.4000000000000008,487.4,498.56
1.4200000000000008,479.14,492.16
1.4400000000000008,478.11,492.33
1.4600000000000009,478.49,495.06
1.4800000000000009,480.39,496.65
1.5000000000000009,480.39,496.65
1.520000000000001,483.57,502.26
1.540000000000001,485.66,504.8
1.560000000000001,487.72,507.44
1.580000000000001,487.72,507.44
1.600000000000001,489.58,508.75
1.620000000000001,491.06,508.8
1.640000000000001,493.25,508.84
1.660000000000001,493.25,508.84
1.680000000000001,496.84,510.02
1.700000000000001,498.27,509.62
1.720000000000001,498.02,509.89
1.740000000000001,499.41,510.51
1.7600000000000011,499.41,510.51
1.7800000000000011,501.79,513.41
1.8000000000000012,502.83,514.33
1.8200000000000012,503.86,515.86
1.8400000000000012,505.69,519.09
1.8600000000000012,505.69,519.09
1.8800000000000012,555.92,544.06
1.9000000000000012,602.54,559.65
1.9200000000000013,602.54,559.65
1.9400000000000013,655.83,573.72
1.9600000000000013,700.86,582.77
1.9800000000000013,725.49,584.62
2.0000000000000013,734.39,579.69
2.0200000000000014,734.39,579.69
2.0400000000000014,721.61,565.4
2.0600000000000014,707.29,558.92
2.0800000000000014,707.29,558.92
2.1000000000000014,673.91,547.75
2.1200000000000014,656.72,542.6
2.1400000000000015,639.78,538.28
2.1600000000000015,623.82,534.82
2.1800000000000015,623.82,534.82
2.2000000000000015,595.45,529.61
2.2200000000000015,582.76,527.89
2.2400000000000015,582.76,527.89
2.2600000000000016,572.41,526.11
2.2800000000000016,563.52,524.09
2.3000000000000016,555.62,523.07
2.3200000000000016,549.1,520.66
2.3400000000000016,543.28,517.52
2.3600000000000017,537.62,514.22
2.3800000000000017,532.3,511.98
2.4000000000000017,532.3,511.98
2.4200000000000017,525.27,508.54
2.4400000000000017,522.62,508.44
2.4600000000000017,520.49,509.15
2.4800000000000018,518.79,510.72
2.5000000000000018,516.84,511.78
2.520000000000002,516.07,512.02
2.540000000000002,515.65,511.42
2.560000000000002,515.65,511.42
2.580000000000002,513.18,511.23
2.600000000000002,513.18,511.23
2.620000000000002,511.54,512.38
2.640000000000002,510.43,512.3
2.660000000000002,509.35,512.44
2.680000000000002,509.08,511.76
2.700000000000002,509.26,511.8
2.720000000000002,509.01,510.84
2.740000000000002,508.01,509.67
2.760000000000002,508.61,509.94
2.780000000000002,508.61,509.94
2.800000000000002,508.35,510.96
2.820000000000002,508.88,513.17
2.840000000000002,509.9,515.14
2.860000000000002,509.52,516.71
2.880000000000002,510.02,517.97
2.900000000000002,510.81,519.17
2.920000000000002,510.25,519.54
2.940000000000002,510.25,519.54
2.960000000000002,509.4,518.43
2.980000000000002,508.52,517.54
