time_s,H,V
0.0,504.94,503.22
0.02,535.8,507.8
0.04,535.8,507.8
0.06,535.8,507.8
0.08,535.8,507.8
0.1,535.8,507.8
0.12000000000000001,535.8,507.8
0.14,535.8,507.8
0.16,535.8,507.8
0.18,535.8,507.8
0.19999999999999998,535.8,507.8
0.21999999999999997,535.8,507.8
0.23999999999999996,535.8,507.8
0.25999999999999995,535.8,507.8
0.27999999999999997,535.8,507.8
0.3,535.8,507.8
0.32,535.8,507.8
0.34,535.8,507.8
0.36000000000000004,535.8,507.8
0.38000000000000006,535.8,507.8
0.4000000000000001,535.8,507.8
0.4200000000000001,535.8,507.8
0.4400000000000001,535.8,507.8
0.46000000000000013,535.8,507.8
0.48000000000000015,535.8,507.8
0.5000000000000001,535.8,507.8
0.5200000000000001,535.8,507.8
0.5400000000000001,535.8,507.8
0.5600000000000002,535.8,507.8
0.5800000000000002,535.8,507.8
0.6000000000000002,535.8,507.8
0.6200000000000002,535.8,507.8
0.6400000000000002,535.8,507.8
0.6600000000000003,535.8,507.8
0.6800000000000003,535.8,507.8
0.7000000000000003,535.8,507.8
0.7200000000000003,535.8,507.8
0.7400000000000003,535.8,507.8
0.7600000000000003,535.8,507.8
0.7800000000000004,535.8,507.8
0.8000000000000004,535.8,507.8
0.8200000000000004,535.8,507.8
0.8400000000000004,535.8,507.8
0.8600000000000004,535.8,507.8
0.8800000000000004,535.8,507.8
0.9000000000000005,535.8,507.8
0.9200000000000005,535.8,507.8
0.9400000000000005,535.8,507.8
0.9600000000000005,535.8,507.8
0.9800000000000005,535.8,507.8
1.0000000000000004,535.8,507.8
1.0200000000000005,535.8,507.8
1.0400000000000005,535.8,507.8
1.0600000000000005,535.8,507.8
1.0800000000000005,535.8,507.8
1.1000000000000005,535.8,507.8
1.1200000000000006,535.8,507.8
1.1400000000000006,535.8,507.8
1.1600000000000006,535.8,507.8
1.1800000000000006,535.8,507.8
1.2000000000000006,535.8,507.8
1.2200000000000006,535.8,507.8
1.2400000000000007,535.8,507.8
1.2600000000000007,535.8,507.8
1.2800000000000007,535.8,507.8
1.3000000000000007,535.8,507.8
1.3200000000000007,535.8,507.8
1.3400000000000007,535.8,507.8
1.3600000000000008,535.8,507.8
1.3800000000000008,550.04,504.44
1.4000000000000008,550.04,504.44
1.4200000000000008,558.63,503.55
1.4400000000000008,561.91,502.84
1.4600000000000009,562.12,503.87
1.4800000000000009,560.1,506.5
1.5000000000000009,556.68,509.8
1.520000000000001,553.34,512.44
1.540000000000001,548.68,513.95
1.560000000000001,544.14,513.56
1.580000000000001,539.31,512.85
1.600000000000001,535.45,513.48
1.620000000000001,531.36,513.18
1.640000000000001,531.36,513.18
1.660000000000001,527.69,512.55
1.680000000000001,524.55,513.24
1.700000000000001,521.15,511.43
1.720000000000001,519.12,510.15
1.740000000000001,519.12,510.15
1.7600000000000011,517.9,509.92
1.7800000000000011,516.52,511.33
1.8000000000000012,514.21,512.07
1.8200000000000012,513.17,514.25
1.8400000000000012,512.34,515.6
1.8600000000000012,512.34,515.6
1.8800000000000012,512.66,516.79
1.9000000000000012,511.72,517.83
1.9200000000000013,510.98,518.46
1.9400000000000013,512.18,519.37
1.9600000000000013,512.18,519.37
1.9800000000000013,462.96,516.52
2.0000000000000013,462.96,516.52
2.0200000000000014,351.65,508.97
2.0400000000000014,351.65,508.97
2.0600000000000014,296.32,497.98
2.0800000000000014,264.46,489.18
2.1000000000000014,251.57,483.15
2.1200000000000014,252.65,480.32
2.1400000000000015,262.92,480.25
2.1600000000000015,277.94,482.0
2.1800000000000015,297.55,486.0
2.2000000000000015,317.04,490.2
2.2200000000000015,317.04,490.2
2.2400000000000015,357.27,500.61
2.2600000000000016,374.41,504.09
2.2800000000000016,390.53,505.67
2.3000000000000016,405.22,508.74
2.3200000000000016,417.98,509.59
2.3400000000000016,429.38,510.87
2.3600000000000017,429.38,510.87
2.3800000000000017,448.73,512.32
2.4000000000000017,456.18,512.85
2.4200000000000017,456.18,512.85
2.4400000000000017,464.14,512.48
2.4600000000000017,470.12,512.99
2.4800000000000018,475.09,512.59
2.5000000000000018,480.27,512.27
2.520000000000002,484.22,512.22
2.540000000000002,488.58,513.37
2.560000000000002,491.86,514.9
2.580000000000002,493.69,515.72
2.600000000000002,495.75,517.18
2.620000000000002,497.2,518.14
2.640000000000002,497.76,518.51
2.660000000000002,498.81,516.61
2.680000000000002,498.81,516.61
2.700000000000002,501.16,514.71
2.720000000000002,501.16,514.71
2.740000000000002,500.82,513.01
2.760000000000002,500.82,513.01
2.780000000000002,500.66,512.81
2.800000000000002,501.13,512.05
2.820000000000002,502.1,511.44
2.840000000000002,503.48,512.15
2.860000000000002,503.98,512.92
2.880000000000002,504.39,513.94
2.900000000000002,504.11,516.35
2.920000000000002,504.89,517.08
2.940000000000002,504.89,517.08
2.960000000000002,505.49,518.05
2.980000000000002,504.79,516.24
