time_s,H,V
0.0,506.56,516.53
0.02,510.0,509.2
0.04,510.0,509.2
0.06,510.0,509.2
0.08,510.0,509.2
0.1,510.0,509.2
0.12000000000000001,510.0,509.2
0.14,510.0,509.2
0.16,510.0,509.2
0.18,510.0,509.2
0.19999999999999998,510.0,509.2
0.21999999999999997,510.0,509.2
0.23999999999999996,510.0,509.2
0.25999999999999995,510.0,509.2
0.27999999999999997,510.0,509.2
0.3,510.0,509.2
0.32,510.0,509.2
0.34,510.0,509.2
0.36000000000000004,510.0,509.2
0.38000000000000006,510.0,509.2
0.4000000000000001,510.0,509.2
0.4200000000000001,510.0,509.2
0.4400000000000001,510.0,509.2
0.46000000000000013,510.0,509.2
0.48000000000000015,510.0,509.2
0.5000000000000001,510.0,509.2
0.5200000000000001,510.0,509.2
0.5400000000000001,510.0,509.2
0.5600000000000002,510.0,509.2
0.5800000000000002,510.0,509.2
0.6000000000000002,510.0,509.2
0.6200000000000002,510.0,509.2
0.6400000000000002,510.0,509.2
0.6600000000000003,510.0,509.2
0.6800000000000003,510.0,509.2
0.7000000000000003,510.0,509.2
0.7200000000000003,510.0,509.2
0.7400000000000003,510.0,509.2
0.7600000000000003,510.0,509.2
0.7800000000000004,510.0,509.2
0.8000000000000004,510.0,509.2
0.8200000000000004,510.0,509.2
0.8400000000000004,510.0,509.2
0.8600000000000004,510.0,509.2
0.8800000000000004,510.0,509.2
0.9000000000000005,510.0,509.2
0.9200000000000005,510.0,509.2
0.9400000000000005,510.0,509.2
0.9600000000000005,510.0,509.2
0.9800000000000005,510.0,509.2
1.0000000000000004,510.0,509.2
1.0200000000000005,510.0,509.2
1.0400000000000005,510.0,509.2
1.0600000000000005,510.0,509.2
1.0800000000000005,510.0,509.2
1.1000000000000005,510.0,509.2
1.1200000000000006,510.0,509.2
1.1400000000000006,510.0,509.2
1.1600000000000006,510.0,509.2
1.1800000000000006,510.0,509.2
1.2000000000000006,510.0,509.2
1.2200000000000006,510.0,509.2
1.2400000000000007,510.0,509.2
1.2600000000000007,510.0,509.2
1.2800000000000007,510.0,509.2
1.3000000000000007,510.0,509.2
1.3200000000000007,510.0,509.2
1.3400000000000007,510.0,509.2
1.3600000000000008,510.0,509.2
1.3800000000000008,510.0,509.2
1.4000000000000008,508.6,508.36
1.4200000000000008,506.48,509.49
1.4400000000000008,506.18,510.39
1.4600000000000009,506.18,510.39
1.4800000000000009,506.08,511.57
1.5000000000000009,504.26,512.46
1.520000000000001,504.21,511.36
1.540000000000001,504.37,511.29
1.560000000000001,504.37,511.29
1.580000000000001,505.24,509.71
1.600000000000001,505.24,509.71
1.620000000000001,507.39,518.97
1.640000000000001,513.51,547.57
1.660000000000001,517.01,588.66
1.680000000000001,512.81,631.73
1.700000000000001,505.65,669.98
1.720000000000001,492.52,695.18
1.740000000000001,478.01,705.75
1.7600000000000011,467.21,698.6
1.7800000000000011,467.21,698.6
1.8000000000000012,459.77,661.9
1.8200000000000012,461.42,642.12
1.8400000000000012,462.94,624.5
1.8600000000000012,464.55,607.8
1.8800000000000012,464.55,607.8
1.9000000000000012,468.04,592.64
1.9200000000000013,474.9,566.13
1.9400000000000013,474.9,566.13
1.9600000000000013,478.12,556.5
1.9800000000000013,480.3,548.4
2.0000000000000013,483.24,541.32
2.0200000000000014,486.19,534.86
2.0400000000000014,487.75,530.49
2.0600000000000014,491.2,526.39
2.0800000000000014,494.76,526.11
2.1000000000000014,494.76,526.11
2.1200000000000014,499.77,526.71
2.1400000000000015,501.81,526.17
2.1600000000000015,503.85,526.94
2.1800000000000015,504.08,526.75
2.2000000000000015,504.46,526.4
2.2200000000000015,504.46,526.4
2.2400000000000015,505.3,523.06
2.2600000000000016,505.04,522.04
2.2800000000000016,505.04,522.04
2.3000000000000016,505.23,520.24
2.3200000000000016,504.18,518.99
2.3400000000000016,504.15,516.79
2.3600000000000017,505.52,515.03
2.3800000000000017,507.01,514.43
2.4000000000000017,507.41,514.74
2.4200000000000017,508.73,515.79
2.4400000000000017,509.38,517.03
2.4600000000000017,509.51,518.83
2.4800000000000018,509.21,520.46
2.5000000000000018,509.56,521.77
2.520000000000002,510.85,521.02
2.540000000000002,511.08,522.21
2.560000000000002,511.08,522.21
2.580000000000002,509.33,522.18
2.600000000000002,509.67,522.14
2.620000000000002,509.67,522.14
2.640000000000002,510.33,522.11
2.660000000000002,509.87,519.69
2.680000000000002,509.29,519.35
2.700000000000002,508.83,517.68
2.720000000000002,511.67,517.15
2.740000000000002,511.53,515.52
2.760000000000002,510.83,514.41
2.780000000000002,511.26,516.93
2.800000000000002,509.01,516.94
2.820000000000002,508.01,517.36
2.840000000000002,508.01,517.36
2.860000000000002,510.08,518.79
2.880000000000002,509.47,520.63
2.900000000000002,510.17,518.7
2.920000000000002,510.14,517.76
2.940000000000002,510.14,517.76
2.960000000000002,509.97,514.13
2.980000000000002,509.97,514.13
